predictor,type,n,mcfadden_r2,tjur_r2,cv_auc,lrt_p
Shape_Leng,numeric,743,0.03767771093029071,0.05107200775672993,0.6609540726725196,6.850010234704234e-10
FA_30_max,numeric,743,0.007872094338936542,0.011615310288193625,0.6604547585993379,0.004801903028510092
TypicalProfile,categorical,743,0.07173339502474918,0.09065009666025647,0.6294997805280549,8.077207589775494e-09
Texture,categorical,743,0.03149295029471921,0.04083804827769344,0.5956934943916603,4.395332196090336e-05
claytotal_r,numeric,743,0.012698208574921432,0.017405849199885748,0.578667953113073,0.00034146550060293226
sandtotal_r,numeric,743,0.012359430475675781,0.016881463008425746,0.5624065909745088,0.0004100601090430918
ParentMaterial,categorical,621,0.029111490147361807,0.039961529370305726,0.5481821946169771,1.7139781235668557e-05
silttotal_r,numeric,743,0.007524600169383944,0.010208759809466561,0.5471468852434784,0.0058318877505831165
Soil_Development,categorical,743,0.004610474274106102,0.006288408331316053,0.5387198811197053,0.030916213163513288
Landform,categorical,743,0.003626903547485183,0.004905119676970271,0.5376871414076836,0.16009442877192923
slope_100,numeric,743,1.063922026789399e-05,1.3955032340029483e-05,0.4840634419688666,0.9174292422050556
